,Topic_0,Topic_1,Topic_2,Topic_3
0,"[('biden', 0.016235195810053366), ('like', 0.00886427602495216), ('campaign', 0.008353201593316848), ('crime', 0.008209295523310126), ('year', 0.006969462114542488)]","[('like', 0.016730303233838634), ('paxton', 0.011149498369119402), ('conservative', 0.010444093088537587), ('people', 0.009458208559763903), ('would', 0.00877293938877429)]","[('law', 0.015138322584230453), ('crime', 0.013281834358853413), ('judge', 0.01128118726850925), ('get', 0.01013973738805522), ('would', 0.009386762150917797)]","[('biden', 0.03587836101515001), ('vote', 0.02516044298362795), ('candidate', 0.014864923407556772), ('like', 0.014252727207773649), ('voting', 0.013561391627058552)]"
1,"[('biden', 0.033024395638905905), ('year', 0.008813097641140804), ('like', 0.00860149844927867), ('think', 0.00797284226140927), ('he', 0.007068507466133006)]","[('paxton', 0.019988647248362832), ('like', 0.013202041876684483), ('would', 0.00998815483278076), ('people', 0.008847477483014751), ('one', 0.008407833374477206)]","[('biden', 0.013270794759292494), ('would', 0.01013540693597696), ('get', 0.009738673779222197), ('law', 0.008881090669433404), ('people', 0.00869300778761548)]","[('biden', 0.03340695552364765), ('vote', 0.03004883946748256), ('win', 0.014741768006034977), ('candidate', 0.012883471968841934), ('voting', 0.01279954229983897)]"
2,"[('biden', 0.06903068583197307), ('like', 0.011507048916912597), ('joe', 0.009943755185795178), ('he', 0.009743771297435986), ('think', 0.007863676766147142)]","[('like', 0.012844550365830912), ('people', 0.01055693855041249), ('one', 0.01036099690409776), ('paxton', 0.008737922801053507), ('would', 0.008523757793956175)]","[('biden', 0.019318278087417404), ('get', 0.010876115047690373), ('like', 0.010220211819873298), ('people', 0.009641197113554259), ('would', 0.009285534931157226)]","[('biden', 0.043544866352870616), ('vote', 0.0228278563001046), ('win', 0.015340333816884474), ('candidate', 0.01378215796468485), ('would', 0.012314239935004342)]"
3,"[('biden', 0.04331418343098745), ('like', 0.013311035886302856), ('president', 0.010652707502516462), ('joe', 0.010254261605299944), ('think', 0.008593904644255215)]","[('one', 0.0126129030548903), ('people', 0.011398778125449916), ('like', 0.011290680699135466), ('say', 0.009364519557949721), ('thing', 0.007852983428816554)]","[('biden', 0.01599428813019499), ('like', 0.011314600474443425), ('people', 0.011173620296135297), ('get', 0.011139937230091082), ('would', 0.009782325724655018)]","[('biden', 0.029985350204043942), ('vote', 0.02198383326823011), ('win', 0.015830456446637758), ('like', 0.011961754240069), ('would', 0.011770639318505171)]"
4,"[('biden', 0.03423569837113329), ('like', 0.013458976807275234), ('year', 0.010853679996905001), ('joe', 0.008750199653760235), ('people', 0.008272359292997834)]","[('one', 0.012084077886680818), ('people', 0.010506375290769322), ('like', 0.010455612540515673), ('say', 0.008878405880383472), ('dont', 0.0074686527893866915)]","[('people', 0.012693832482510057), ('like', 0.012547230409888553), ('get', 0.011862296982534215), ('biden', 0.011569486060313239), ('would', 0.01101438638259239)]","[('vote', 0.02106681554846879), ('biden', 0.018155174714320797), ('kamala', 0.01649548149258047), ('harris', 0.0162268490555095), ('win', 0.014096325860328668)]"
5,"[('biden', 0.023113302956758282), ('like', 0.012804377121157498), ('year', 0.010263372006477681), ('people', 0.009573396137609831), ('debate', 0.008897420374832625)]","[('like', 0.010850188519219376), ('one', 0.010677460427207276), ('people', 0.009695144813772679), ('dont', 0.00799148755331955), ('say', 0.007858810413777713)]","[('like', 0.014010412046969086), ('people', 0.013507253682258604), ('would', 0.012070611757161322), ('get', 0.010752355538292076), ('biden', 0.010231331322872697)]","[('harris', 0.025159706629344154), ('kamala', 0.02202417023871733), ('vote', 0.013473739171293634), ('win', 0.012000885888761042), ('walz', 0.011598741172318256)]"
6,"[('biden', 0.025390703081503742), ('like', 0.013526830788036714), ('debate', 0.010097507082346654), ('kamala', 0.010002091094996063), ('joe', 0.00948767145216257)]","[('like', 0.0111172339401454), ('one', 0.010358611322613578), ('kamala', 0.009046950557179316), ('people', 0.008675691924667214), ('abortion', 0.008335023626257432)]","[('people', 0.014054361205584745), ('like', 0.013177867868127633), ('would', 0.012522528367729036), ('get', 0.010331584014630217), ('biden', 0.008928260113376035)]","[('harris', 0.031852221667841706), ('kamala', 0.031074778240330884), ('win', 0.013552981978024814), ('vote', 0.013006686939145815), ('like', 0.012679570583341827)]"
7,"[('biden', 0.017298966109313703), ('debate', 0.013272532812600844), ('like', 0.012375761165426715), ('kamala', 0.011894221695327806), ('think', 0.010717936774110561)]","[('kamala', 0.015166098714600952), ('abortion', 0.012113049954889881), ('like', 0.011632354240113846), ('one', 0.010165931579511948), ('president', 0.00860477454609508)]","[('people', 0.014563328236351585), ('like', 0.013126646840113962), ('would', 0.011467798405704815), ('get', 0.010094311651284481), ('biden', 0.007402552822668636)]","[('harris', 0.027151026562226382), ('kamala', 0.01750596491927631), ('poll', 0.016547369411799663), ('win', 0.016474262997343298), ('vote', 0.016455866259062802)]"
8,"[('debate', 0.018848671273105605), ('biden', 0.013785131950915788), ('kamala', 0.012547448380532204), ('like', 0.01154616823189444), ('harris', 0.011107788702355417)]","[('kamala', 0.020097694111596866), ('like', 0.013598352882835417), ('harris', 0.009838974110554073), ('abortion', 0.009640143382715195), ('vance', 0.00956804756606156)]","[('like', 0.014352453039790863), ('people', 0.012806095773576881), ('would', 0.011219851792253693), ('get', 0.009722622297898111), ('right', 0.007455651924637402)]","[('harris', 0.03521756589212321), ('kamala', 0.020711535457390462), ('vote', 0.018131781295167067), ('win', 0.015455552566933959), ('poll', 0.012956589163681418)]"
9,"[('debate', 0.01784597115696267), ('like', 0.010648346507937815), ('biden', 0.010612056992509986), ('kamala', 0.009547541967023171), ('think', 0.009375133837444745)]","[('kamala', 0.021794729394213817), ('vance', 0.019140647276277453), ('like', 0.013263166838904968), ('harris', 0.011606050459216458), ('president', 0.009903599244230173)]","[('people', 0.012129206636936774), ('like', 0.011890470060145914), ('would', 0.01163306679493683), ('get', 0.008440268995592809), ('right', 0.007375583094497814)]","[('harris', 0.031304445713530776), ('vote', 0.019007652603583933), ('win', 0.01602738558421562), ('kamala', 0.015882075415739747), ('state', 0.012222054277435817)]"
10,"[('biden', 0.012431124416786322), ('think', 0.011619471654681803), ('people', 0.009923721433254745), ('debate', 0.009432720979481427), ('would', 0.00927732646115874)]","[('kamala', 0.01905051766667297), ('harris', 0.013516446729886904), ('like', 0.013306643430406781), ('dont', 0.010165896685326827), ('know', 0.009388325128263932)]","[('people', 0.012977969347797597), ('would', 0.011178238774817387), ('like', 0.01107392567825133), ('right', 0.007946258229524324), ('get', 0.007559329199744899)]","[('harris', 0.025333975231068923), ('vote', 0.02451278584703693), ('win', 0.01946012085208839), ('state', 0.016324493779597507), ('poll', 0.014042402485014717)]"
11,"[('think', 0.012498447161831116), ('biden', 0.012468438818535547), ('harris', 0.011658447844752704), ('people', 0.010913928377652688), ('rally', 0.00961227018439829)]","[('like', 0.017248234343164328), ('harris', 0.015096939085936342), ('kamala', 0.01467669337838233), ('people', 0.010176966880774256), ('dont', 0.010082177052563404)]","[('like', 0.01492250636421365), ('people', 0.01476284174498798), ('would', 0.011317875510584803), ('get', 0.008563416035374381), ('right', 0.008035571923709163)]","[('harris', 0.03348621114101978), ('poll', 0.022787834113820137), ('vote', 0.022673811017695434), ('win', 0.01829342405642673), ('state', 0.013506947569997043)]"
12,"[('harris', 0.01971486497356763), ('think', 0.012622474012724762), ('people', 0.012019913287873574), ('campaign', 0.01099457039106685), ('biden', 0.010836223813404227)]","[('like', 0.01874072814174246), ('harris', 0.014309778092653694), ('kamala', 0.01407708927862283), ('know', 0.011661288017024386), ('people', 0.010281716183558647)]","[('people', 0.01425460510164637), ('would', 0.013152979516810433), ('like', 0.013111867544789319), ('get', 0.009399860220668892), ('he', 0.0073382575574931315)]","[('harris', 0.04299393826629309), ('vote', 0.02780773942367268), ('win', 0.019981622415427204), ('poll', 0.018633251351599215), ('state', 0.012137614457115717)]"
