date,all_Kamala_Harris,all_Joe_Biden,all_Donald_Trump
2024-06-01,0.5,1.0,6.5
2024-06-02,0.5,1.0,5.0
2024-06-03,0.5,1.0,3.5
2024-06-04,0.5,1.5,3.0
2024-06-05,0.5,1.5,2.5
2024-06-06,0.5,2.0,2.5
2024-06-07,0.5,2.0,3.0
2024-06-08,0.5,1.0,3.0
2024-06-09,0.5,1.0,2.5
2024-06-10,0.5,1.0,2.0
2024-06-11,0.5,3.5,3.0
2024-06-12,0.5,2.0,2.0
2024-06-13,0.5,1.0,2.0
2024-06-14,0.5,1.5,3.0
2024-06-15,0.5,1.0,2.0
2024-06-16,0.5,1.0,2.0
2024-06-17,0.5,1.0,2.0
2024-06-18,0.5,2.0,2.0
2024-06-19,0.5,1.0,2.0
2024-06-20,0.5,1.0,2.0
2024-06-21,0.5,1.0,2.0
2024-06-22,0.5,1.0,2.0
2024-06-23,0.5,1.0,2.0
2024-06-24,0.5,1.0,2.0
2024-06-25,0.5,1.0,2.5
2024-06-26,0.5,1.0,2.0
2024-06-27,0.5,3.0,4.0
2024-06-28,0.5,17.0,14.0
2024-06-29,0.5,6.0,4.0
2024-06-30,0.5,5.0,3.0
2024-07-01,0.5,4.0,4.0
2024-07-02,0.5,3.0,3.5
2024-07-03,1.0,4.5,3.0
2024-07-04,1.0,4.0,3.0
2024-07-05,1.0,5.0,3.0
2024-07-06,0.5,7.0,3.0
2024-07-07,0.5,3.0,2.0
2024-07-08,0.5,3.0,2.0
2024-07-09,0.5,3.0,3.0
2024-07-10,0.5,3.0,3.0
2024-07-11,0.5,6.5,3.0
2024-07-12,1.0,7.0,3.5
2024-07-13,0.5,4.0,64.0
2024-07-14,0.5,6.0,100.0
2024-07-15,0.5,3.0,31.0
2024-07-16,0.5,3.0,19.0
2024-07-17,0.5,4.0,13.0
2024-07-18,1.5,8.5,14.0
2024-07-19,1.5,11.0,18.5
2024-07-20,1.0,5.0,8.5
2024-07-21,11.5,41.0,10.0
2024-07-22,17.0,12.0,9.0
2024-07-23,14.0,9.0,8.0
2024-07-24,10.5,4.5,7.5
2024-07-25,11.5,5.0,6.5
2024-07-26,8.5,2.0,6.0
2024-07-27,6.0,1.0,7.0
2024-07-28,5.0,1.0,7.0
2024-07-29,5.0,1.0,9.0
2024-07-30,5.0,1.0,7.0
2024-07-31,6.5,1.0,7.0
2024-08-01,7.0,1.0,7.0
2024-08-02,5.0,1.0,5.0
2024-08-03,4.0,1.0,5.0
2024-08-04,4.0,1.0,4.0
2024-08-05,4.0,1.0,4.0
2024-08-06,9.0,1.0,4.0
2024-08-07,5.5,1.0,4.0
2024-08-08,4.0,1.0,5.0
2024-08-09,4.0,1.0,5.0
2024-08-10,4.0,1.0,5.0
2024-08-11,4.0,1.0,4.5
2024-08-12,3.5,1.0,5.0
2024-08-13,3.0,1.0,7.5
2024-08-14,3.0,1.0,4.5
2024-08-15,3.0,1.0,4.0
2024-08-16,3.0,1.0,4.0
2024-08-17,3.0,0.5,4.0
2024-08-18,3.0,0.5,4.0
2024-08-19,3.0,1.0,4.0
2024-08-20,4.0,3.5,5.0
2024-08-21,4.5,1.0,6.0
2024-08-22,4.0,1.0,5.5
2024-08-23,9.5,1.0,7.0
2024-08-24,4.0,1.0,5.5
2024-08-25,3.0,0.0,4.0
2024-08-26,3.0,0.0,4.0
2024-08-27,3.0,1.0,4.0
2024-08-28,3.0,1.0,4.0
2024-08-29,4.0,0.5,5.0
2024-08-30,5.0,0.0,4.0
2024-08-31,2.5,0.0,4.0
2024-09-01,2.5,0.0,4.0
2024-09-02,2.5,0.0,3.0
2024-09-03,2.0,0.0,3.0
2024-09-04,2.0,0.0,4.0
2024-09-05,2.0,0.5,4.0
2024-09-06,2.0,0.5,4.0
2024-09-07,2.0,0.0,3.0
2024-09-08,2.0,0.0,3.0
2024-09-09,3.0,0.0,4.0
2024-09-10,4.0,0.0,5.5
2024-09-11,13.5,2.0,17.5
2024-09-12,5.5,1.0,8.0
2024-09-13,4.0,1.0,6.5
2024-09-14,3.5,1.0,5.5
2024-09-15,3.0,1.0,16.5
2024-09-16,2.5,1.0,13.5
2024-09-17,2.5,0.0,6.0
2024-09-18,2.0,0.0,5.5
2024-09-19,2.5,0.0,5.0
2024-09-20,3.0,0.0,4.0
2024-09-21,3.0,0.0,4.0
2024-09-22,2.5,0.0,4.0
2024-09-23,2.5,0.0,4.0
2024-09-24,2.0,0.5,4.0
2024-09-25,2.5,0.0,4.0
2024-09-26,2.0,0.5,3.5
2024-09-27,2.0,0.0,3.5
2024-09-28,2.0,0.0,3.0
2024-09-29,2.0,1.0,4.0
2024-09-30,2.0,1.0,3.5
2024-10-01,2.0,1.0,4.0
2024-10-02,2.0,1.0,4.5
2024-10-03,2.0,1.0,4.0
2024-10-04,2.0,1.0,4.0
2024-10-05,2.0,1.0,5.0
2024-10-06,2.0,1.0,4.0
2024-10-07,2.5,0.0,3.5
2024-10-08,3.0,1.0,4.0
2024-10-09,2.5,0.5,4.0
2024-10-10,2.0,0.0,4.0
2024-10-11,2.5,0.0,4.0
2024-10-12,2.0,0.0,4.0
2024-10-13,2.5,0.0,5.0
2024-10-14,2.5,0.0,5.0
2024-10-15,3.0,0.0,6.0
2024-10-16,4.0,0.0,5.0
2024-10-17,4.5,1.0,5.0
2024-10-18,3.0,0.0,5.0
2024-10-19,3.0,0.0,5.0
2024-10-20,3.5,0.0,6.0
2024-10-21,4.0,0.0,6.5
2024-10-22,3.5,0.0,6.0
2024-10-23,3.5,1.0,6.5
2024-10-24,4.0,1.0,6.5
2024-10-25,4.0,1.0,7.0
2024-10-26,4.0,1.0,8.0
2024-10-27,4.0,1.0,9.0
2024-10-28,4.0,1.0,10.5
2024-10-29,5.0,1.0,9.0
2024-10-30,5.0,2.0,8.5
2024-10-31,4.0,2.0,9.0
2024-11-01,4.0,1.0,8.5
2024-11-02,4.0,1.0,9.0
2024-11-03,6.0,1.0,9.5
2024-11-04,6.5,1.0,10.0
